symbol,name,coingecko_id
PRCH,Power Cash,power-cash
RGT,Rari Governance Token,rari-governance-token
NMR,Numeraire,numeraire
ACH,Alchemy Pay,alchemy-pay
BTSE,BTSE Token,btse-token
AURORA,Aurora,aurora-near
SBTC,sBTC,sbtc
GMX,GMX,gmx
MNGO,Mango,mango-markets
ASD,AscendEx Token,asd
BFC,Bifrost,bifrost
FEG,FEG Token BSC,feg-token-bsc
MOVR,Moonriver,moonriver
PLT,Poollotto.finance,poollotto-finance
REEF,Reef Finance,reef-finance
OUSD,Origin Dollar,origin-dollar
WMT,World Mobile Token,world-mobile-token
JOE,JOE,joe
XVG,Verge,verge
KOGE,BNB48 Club Token,bnb48-club-token
GFI,Goldfinch,goldfinch
ION,Ion,ion
TON,Tokamak Network,tokamak-network
USDX,USDX,usdx
UBT,Unibright,unibright
NPXS,Pundi X [OLD],pundi-x
GPX,GPEX,gpex
ELF,aelf,aelf
TRAC,OriginTrail,origintrail
ACA,Acala,acala
STORJ,Storj,storj
VTHO,VeThor Token,vethor-token
OXT,Orchid Protocol,orchid-protocol
BICO,Biconomy,biconomy
STARL,StarLink,starlink
BAND,Band Protocol,band-protocol
AKT,Akash Network,akash-network
EURS,STASIS EURO,stasis-eurs
ARK,Ark,ark
BEZOGE,Bezoge Earth,bezoge-earth
FLEXUSD,flexUSD,flex-usd
KISHU,Kishu Inu,kishu-inu
HXRO,Hxro,hxro
MC,Merit Circle,merit-circle
YOSHI,Yoshi.exchange,yoshi-exchange
SPA,Sperax,sperax
BETA,Beta Finance,beta-finance
KP3R,Keep3rV1,keep3rv1
PROM,Prometeus,prometeus
MAID,MaidSafeCoin,maidsafecoin
MAGIC,Magic,magic
DEP,DEAPCOIN,deapcoin
IBEUR,Iron Bank EURO,iron-bank-euro
SURE,inSure DeFi,insure
STMX,StormX,storm
RIF,RSK Infrastructure Framework,rif-token
GXC,GXChain,gxchain
DERO,Dero,dero
STEEM,Steem,steem
STPT,STP Network,stp-network
BDX,Beldex,beldex
STRAX,Stratis,stratis
RLC,iExec RLC,iexec-rlc
SUN,Sun Token,sun-token
DAWN,Dawn Protocol,dawn-protocol
HYDRA,Hydra,hydra
VR,Victoria VR,victoria-vr
KIRO,Kirobo,kirobo
META,Metadium,metadium
RMRK,RMRK,rmrk
AGEUR,agEUR,ageur
DUSK,DUSK Network,dusk-network
BAL,Balancer,balancer
ALPHA,Alpha Finance,alpha-finance
STRK,Strike,strike
FUN,FUNToken,funfair
NKN,NKN,nkn
GHST,Aavegotchi,aavegotchi
MMF,MMFinance,mmfinance
TORN,Tornado Cash,tornado-cash
TLM,Alien Worlds,alien-worlds
AETHC,Ankr Reward-Bearing Staked ETH,ankreth
TITAN,TitanSwap,titanswap
ALCX,Alchemix,alchemix
QRDO,Qredo,qredo
TRU,TrueFi,truefi
SWP,Kava Swap,kava-swap
UTK,Utrust,utrust
DG,Decentral Games,decentral-games
XPR,Proton,proton
SETH2,sETH2,seth2
LAT,PlatON Network,platon-network
BTCST,BTC Standard Hashrate Token,btc-standard-hashrate-token
BIFI,Beefy.Finance,beefy-finance
MSHARE,Meerkat Shares,meerkat-shares
KLV,Klever,klever
KAI,KardiaChain,kardiachain
DODO,DODO,dodo
VERI,Veritaseum,veritaseum
HOO,Hoo Token,hoo-token
QKC,QuarkChain,quark-chain
MPL,Maple,maple
XVS,Venus,venus
SOUL,Phantasma,phantasma
REGEN,Regen,regen
POLS,Polkastarter,polkastarter
ALPINE,Alpine F1 Team Fan Token,alpine-f1-team-fan-token
HTR,Hathor,hathor
SAVAX,BENQI Liquid Staked AVAX,benqi-liquid-staked-avax
MINE,Pylon Protocol,pylon-protocol
BAKE,BakerySwap,bakerytoken
ORN,Orion Protocol,orion-protocol
WILD,Wilder World,wilder-world
HEZ,Hermez Network,hermez-network-token
C20,CRYPTO20,crypto20
BOO,Spookyswap,spookyswap
ALICE,My Neighbor Alice,my-neighbor-alice
SFUND,Seedify.fund,seedify-fund
EPS,Ellipsis,ellipsis
CBAT,cBAT,compound-basic-attention-token
RAIL,Railgun,railgun
WCFG,Wrapped Centrifuge,wrapped-centrifuge
TOMO,TomoChain,tomochain
TSHARE,Tomb Shares,tomb-shares
BCD,Bitcoin Diamond,bitcoin-diamond
SUSD,sUSD,nusd
MTL,Metal,metal
WAN,Wanchain,wanchain
IDEX,IDEX,aurora-dao
ETN,Electroneum,electroneum
REP,Augur,augur
AUCTION,Bounce,auction
XDG,Decentral Games Governance,decentral-games-governance
PTP,Platypus Finance,platypus-finance
ICHI,ICHI,ichi-farm
SETH,sETH,seth
AIOZ,AIOZ Network,aioz-network
IQ,Everipedia,everipedia
VRA,Verasity,verasity
CQT,Covalent,covalent
ROOK,KeeperDAO,rook
FIDA,Bonfida,bonfida
JASMY,JasmyCoin,jasmycoin
NSBT,Neutrino System Base Token,neutrino-system-base-token
CUSD,Celo Dollar,celo-dollar
RDPX,Dopex Rebate Token,dopex-rebate-token
CUNI,cUNI,compound-uniswap
DVI,Dvision Network,dvision-network
VADER,Vader Protocol,vader-protocol
HUNT,HUNT,hunt-token
AERGO,Aergo,aergo
CTK,CertiK,certik
XAVA,Avalaunch,avalaunch
ALBT,AllianceBlock,allianceblock
AMPL,Ampleforth,ampleforth
CLV,Clover Finance,clover-finance
HNS,Handshake,handshake
PRO,Propy,propy
NRV,Nerve Finance,nerve-finance
MFT,Hifi Finance,mainframe
RAI,Rai Reflex Index,rai
GTC,Gitcoin,gitcoin
AGIX,SingularityNET,singularitynet
AURY,Aurory,aurory
ATOLO,RIZON,rizon
MUSD,mStable USD,musd
SFP,SafePal,safepal
ATA,Automata,automata
PEAK,PEAKDEFI,marketpeak
BZZ,Swarm,swarm-bzz
ADS,Adshares,adshares
ZPAY,ZoidPay,zoid-pay
SOV,Sovryn,sovryn
MLN,Enzyme,melon
YFII,DFI.money,yfii-finance
TEMPLE,TempleDAO,temple
GFARM2,Gains Farm,gains-farm
CUBE,Somnium Space CUBEs,somnium-space-cubes
FOX,ShapeShift FOX Token,shapeshift-fox-token
QI,BENQI,benqi
PRE,Presearch,presearch
AGLD,Adventure Gold,adventure-gold
BSW,Biswap,biswap
SAI,Sai,sai
CRA,Crabada,crabada
BADGER,Badger DAO,badger-dao
DOCK,Dock,dock
CRE,Carry,carry
SHR,ShareToken,sharering
DPI,DeFi Pulse Index,defipulse-index
CDT,Blox,blox
PCX,ChainX,chainx
GF,GuildFi,guildfi
WNXM,Wrapped NXM,wrapped-nxm
TT,ThunderCore,thunder-token
BANANA,Banana,banana
IRIS,IRISnet,iris-network
PLTC,PlatonCoin,platoncoin
COVAL,Circuits of Value,circuits-of-value
AVA,Travala.com,concierge-io
EROWAN,Sifchain,sifchain
OXY,Oxygen,oxygen
KIN,Kin,kin
ARPA,ARPA Chain,arpa-chain
UQC,Uquid Coin,uquid-coin
COC,Coin of the champions,coin-of-the-champions
ELA,Elastos,elastos
BTRFLY,Redacted Cartel,butterflydao
LEND,Aave [OLD],ethlend
RARE,SuperRare,superrare
BEL,bella-protocol,Bella Protocol
WING,wing-finance,Wing Finance
